Iteration,Score,Parameter Values
0,0.4913892232926988,"[1.57263758 1.5707464  1.56845906 1.5707464  1.57263758 1.57134227
 1.5707464  1.57263758 1.56845906 1.56845906 1.57025039 1.56845906
 1.56917089 1.57025039 1.5707464  1.56867487 1.57084626 1.56867487
 1.57084626 1.56678369 1.56867487 1.57313359 1.56845906 1.57291778
 1.5707464  1.56867487 1.57313359 1.57134227 1.56867487 1.5707464
 1.57263758 1.5707464  1.57242177 1.56895507 1.57291778 1.57242177
 1.57084626 1.57530498 1.56895507 1.57313359 1.57291778 1.57263758
 1.5707464  1.57480896 1.56845906 1.57134227 1.57313359 1.57313359
 1.57025039 1.57084626 1.5707464  1.56678369 1.57263758 1.57025039
 1.56895507 1.57134227 1.57263758 1.57263758 1.57313359]"
1,0.49123268359005845,"[1.60786611 1.57638134 1.54975814 1.57638134 1.59119094 1.59930856
 1.5930565  1.5410621  1.53308298 1.58321182 1.59241293 1.58321182
 1.54332147 1.54228409 1.57638134 1.5426779  1.56521132 1.6094819
 1.56521132 1.57799713 1.6094819  1.54170567 1.58321182 1.54878592
 1.5262525  1.5426779  1.59183451 1.59930856 1.5426779  1.54292767
 1.55773727 1.5262525  1.53146718 1.60053055 1.58223959 1.58159602
 1.54853615 1.59769276 1.53372655 1.55838084 1.59891476 1.55773727
 1.5930565  1.59704919 1.59988698 1.54917972 1.59183451 1.60850968
 1.59241293 1.56521132 1.5930565  1.5946723  1.59119094 1.57573777
 1.53372655 1.54917972 1.55773727 1.5410621  1.55838084]"
2,0.49121288564400806,"[1.60886114 1.5749278  1.55077204 1.57554809 1.59056123 1.60050041
 1.59322771 1.54119179 1.53309241 1.5843482  1.59108197 1.58246185
 1.54327307 1.54109224 1.57805473 1.54239339 1.56666486 1.60817639
 1.56415822 1.57925633 1.60817639 1.54083089 1.58246185 1.5467029
 1.52555836 1.54239339 1.59270697 1.59799377 1.54239339 1.54447856
 1.5594917  1.52617865 1.53065023 1.60102116 1.58340599 1.5831466
 1.54836494 1.59617188 1.53523815 1.55975109 1.59857898 1.55887141
 1.59134137 1.5952922  1.60076177 1.55051068 1.59332726 1.60912053
 1.59108197 1.56415822 1.59322771 1.59254297 1.59244757 1.57717504
 1.53523815 1.54800404 1.55636477 1.54369842 1.55662417]"
3,0.4907113240786558,"[1.6191068  1.56828419 1.56629496 1.58509593 1.57538733 1.61056327
 1.58311757 1.53554793 1.52101006 1.56949884 1.57455782 1.58973554
 1.53380003 1.53628385 1.58692542 1.54070954 1.54967684 1.5919874
 1.57147897 1.5973415  1.61561903 1.55540089 1.57135838 1.55552518
 1.52319033 1.55908671 1.6075787  1.60347931 1.53545508 1.53645829
 1.55038131 1.52162491 1.54786538 1.60973376 1.59313368 1.59322331
 1.55847508 1.58150596 1.54794698 1.54503723 1.58407137 1.5703239
 1.59809982 1.60153818 1.60982339 1.54340321 1.60601328 1.61901717
 1.60344391 1.57673343 1.6067492  1.60851589 1.57878225 1.58858048
 1.52956981 1.55995088 1.55011724 1.55575459 1.56840478]"
4,0.49070808439583163,"[1.61690863 1.57105062 1.5685995  1.58649644 1.57778041 1.61195707
 1.58085528 1.53757232 1.52285622 1.56839121 1.57262666 1.59238785
 1.53515863 1.53830481 1.58880134 1.5429679  1.55207421 1.59539381
 1.57426812 1.59902165 1.61386164 1.55688771 1.57344262 1.55863093
 1.52456013 1.56045547 1.60977901 1.60171177 1.53284101 1.53835402
 1.55195031 1.52324721 1.54941003 1.61137664 1.59064758 1.59470601
 1.56073737 1.58014155 1.54545675 1.54306714 1.5824501  1.57293729
 1.60002719 1.60061364 1.60701726 1.54135153 1.60316394 1.61669469
 1.60122138 1.57451954 1.60919858 1.60567418 1.58139823 1.5903282
 1.53181367 1.56183635 1.54784267 1.55206265 1.56584514]"
5,0.4904854277623048,"[1.59903699 1.57587859 1.57280252 1.58218373 1.56700926 1.59752066
 1.58291902 1.54786933 1.52108134 1.58278518 1.56429289 1.5900945
 1.54477329 1.54497761 1.59788236 1.53201115 1.5385063  1.60238744
 1.57835688 1.58930882 1.62363254 1.55100387 1.56869668 1.54428807
 1.53460236 1.55748058 1.59539458 1.59482255 1.54813776 1.53086138
 1.56140159 1.54126953 1.56648045 1.61425673 1.59916371 1.60836263
 1.55271097 1.57154618 1.54165285 1.53792007 1.58937022 1.58304042
 1.60186697 1.60885272 1.61141752 1.55499633 1.61354767 1.6202703
 1.59429732 1.57914969 1.59320737 1.61168754 1.5939287  1.60083047
 1.54661565 1.56727711 1.53443501 1.54971615 1.57612061]"
6,0.4902785030760417,"[1.61481239 1.57018143 1.57750381 1.569712   1.58295591 1.58677436
 1.59056818 1.56249095 1.5022224  1.59345252 1.55122108 1.58012479
 1.56541147 1.52405318 1.59074343 1.51999614 1.55225026 1.60787584
 1.59178743 1.58835923 1.61266837 1.56681369 1.57452412 1.53103923
 1.54547266 1.56946053 1.58680173 1.61653257 1.56344681 1.54149455
 1.5477871  1.5509634  1.57803473 1.60493655 1.61464044 1.61770483
 1.53786034 1.56612716 1.52994724 1.5320152  1.57723476 1.57172233
 1.5856683  1.62184586 1.61321905 1.54111608 1.59991218 1.61316825
 1.60814394 1.56776204 1.60603875 1.60565736 1.57384512 1.61335458
 1.55632304 1.56339956 1.52565594 1.54082933 1.58670811]"
7,0.4902839956902981,"[1.61470602 1.57052113 1.57773646 1.56952243 1.58339238 1.58694768
 1.5905358  1.56234802 1.50238184 1.59321046 1.55113861 1.58025187
 1.56521613 1.52398392 1.59053557 1.51999822 1.55197797 1.60800287
 1.59167167 1.58839837 1.61251405 1.56652477 1.57481008 1.53094512
 1.54574297 1.56924199 1.58663789 1.61678751 1.56323296 1.54159678
 1.5478185  1.55108646 1.57795207 1.60462198 1.61481586 1.61772973
 1.53774052 1.56638215 1.52963475 1.53197359 1.5768535  1.57176913
 1.58567691 1.62187658 1.61313319 1.54114053 1.5997061  1.61337591
 1.6079498  1.5676285  1.60630603 1.60579975 1.57371637 1.61315198
 1.55588752 1.56357822 1.52545601 1.54076968 1.58694883]"
8,0.4902699164221753,"[1.61931754 1.57411097 1.57565944 1.56719875 1.58033549 1.59071412
 1.59420035 1.5613956  1.50583597 1.59593311 1.54565959 1.57455838
 1.56239466 1.52067131 1.58487035 1.52325882 1.54916536 1.60513664
 1.59544698 1.58244673 1.60980747 1.56595999 1.57300733 1.52866204
 1.55071529 1.57263617 1.59108708 1.61861061 1.56507144 1.5393072
 1.55125317 1.55658767 1.57471847 1.59980208 1.61046345 1.62052948
 1.53479233 1.56204568 1.5303632  1.53300166 1.57923531 1.57292209
 1.58296603 1.61945479 1.61864929 1.54376464 1.60544173 1.6101421
 1.61316018 1.56391631 1.60467719 1.60759101 1.57072443 1.61479008
 1.55973606 1.56497765 1.52346759 1.54225504 1.59017159]"
9,0.49017999768767645,"[1.62632659 1.56735322 1.57687958 1.57075446 1.58671005 1.58733753
 1.59433784 1.57418303 1.50382969 1.60504155 1.53302973 1.57173569
 1.56116139 1.51197276 1.59149737 1.52354848 1.54198185 1.59559401
 1.5864477  1.58905089 1.6184001  1.57004931 1.5726687  1.52031273
 1.55164992 1.57621908 1.59355672 1.61008242 1.57323503 1.54040861
 1.54496928 1.56933706 1.57697374 1.59848288 1.62283451 1.61668336
 1.53959987 1.5574548  1.53105199 1.52450374 1.58001453 1.57355858
 1.58381464 1.61634716 1.62094313 1.54488642 1.61436902 1.60858873
 1.6075766  1.56658064 1.59872828 1.6079154  1.56119651 1.61551442
 1.56903982 1.56614502 1.52068453 1.54053271 1.58999307]"
