Iteration,Score,Parameter Values
0,0.4913299429010915,"[ 9.45442360e-04 -1.47671035e-03 -4.41232825e-03  6.71881261e-03
  2.21654439e-03 -8.00935680e-04 -7.12378502e-03  1.50750338e-04
  1.87628014e-03  2.43189482e-03 -6.34252800e-03  2.25469193e-03
  5.65660281e-03 -1.12581507e-03  2.03720438e-03  3.10466231e-03
 -2.32862415e-03  5.41745609e-03 -5.77495328e-03  3.36472088e-03
  3.00284608e-03 -3.02479135e-03 -2.80977122e-03  3.84069090e-03
  4.75273232e-03  4.09426192e-03 -1.35878774e-03 -5.20178577e-03
 -3.18236657e-03  1.46794531e-03 -1.76727366e-03 -2.89342325e-04
  3.74528329e-03 -5.49286970e-03  7.76667788e-05  3.17608753e-03
  3.06971137e-03 -5.74046896e-03  4.52669986e-03  1.64951172e-03
  1.84551716e-03 -2.67331876e-03 -1.58157160e-03  4.72835384e-03
  5.61081134e-03  2.55191170e-03  4.15122715e-03 -1.17650973e-03
  4.68154799e-03 -2.48658888e-03  1.40091487e-03 -6.50671827e-03
 -1.76669444e-04 -3.20841705e-04 -7.06125144e-03  2.66775986e-03
  4.03668601e-03 -1.95842416e-03  1.89086017e-03]"
1,0.49130470018454003,"[1.57784955 1.56682038 1.57182705 1.57459904 1.57128589 1.57531139
 1.57681773 1.57526437 1.57231218 1.57232878 1.5724207  1.57172371
 1.57223565 1.57309205 1.56392478 1.5729506  1.57127833 1.57219845
 1.57349293 1.56995442 1.57168525 1.56837823 1.57479883 1.57345848
 1.57400542 1.57625269 1.57066904 1.57598837 1.5704497  1.56758412
 1.56965156 1.57380311 1.56948729 1.574786   1.5654438  1.57469439
 1.56372971 1.57340923 1.57015481 1.56728349 1.56688823 1.56515542
 1.56870788 1.57235431 1.5712771  1.57448123 1.57462103 1.56572509
 1.57447117 1.57272348 1.57174565 1.57686859 1.57510008 1.57559298
 1.57405362 1.56597499 1.57523178 1.57207698 1.5696705 ]"
2,0.49129368494587733,"[ 0.00068121 -0.00117861 -0.00478991  0.00561576  0.00280011 -0.00107166
 -0.00798779 -0.00065547  0.0021568   0.00237564 -0.00653082  0.00271454
  0.00615406 -0.00109811  0.00353562  0.00316645 -0.00151523  0.00564529
 -0.00693028  0.00316939  0.00273707 -0.00262011 -0.00274956  0.00376205
  0.00458416  0.00387164 -0.00157162 -0.00584881 -0.00327926  0.00195587
 -0.00107392 -0.00155579  0.00316697 -0.00525152  0.000321    0.00362557
  0.00242749 -0.00532835  0.00431355  0.00187903  0.00199249 -0.00271719
 -0.00141951  0.00598646  0.00458105  0.00165964  0.00398568 -0.00115575
  0.00333748 -0.00261699  0.00160267 -0.0056149  -0.00018375 -0.00140145
 -0.00757769  0.00313757  0.00323879 -0.00155834  0.00162047]"
3,0.48893349012700754,"[1.57839409 1.56604297 1.57131552 1.57539205 1.57204805 1.57501806
 1.57741862 1.57511099 1.57192492 1.57144377 1.57283808 1.57248434
 1.57233341 1.57294083 1.56374989 1.57256605 1.57164537 1.57207977
 1.57343604 1.56980512 1.57061182 1.56860328 1.57517479 1.5732934
 1.57405926 1.57580905 1.57093562 1.57581418 1.57092248 1.56810856
 1.57021941 1.57378408 1.56979219 1.57428894 1.56617262 1.57433358
 1.56325171 1.5728623  1.56969291 1.56721228 1.56668783 1.56565025
 1.56811299 1.57252795 1.57137199 1.57457334 1.57535879 1.56669554
 1.57443162 1.57317104 1.57175097 1.57554695 1.57464914 1.57622959
 1.57359239 1.56558691 1.57545018 1.57233536 1.57080522]"
4,0.48884607433878235,"[ 8.07065953e-04 -5.80323714e-04 -4.64131396e-03  5.22386189e-03
  3.66998268e-03  8.53236356e-05 -9.29897722e-03 -9.34816120e-04
  1.14644355e-03  3.60622450e-03 -5.93507872e-03  3.00338635e-03
  7.25836921e-03 -8.42034220e-04  3.63530208e-03  5.61434315e-04
 -2.29388533e-03  6.90570379e-03 -7.97896424e-03  2.23773020e-03
  2.35710815e-03 -1.95119851e-03 -4.25571372e-03  4.61940333e-03
  4.37836780e-03  5.02675631e-03 -1.44030632e-03 -7.04120145e-03
 -4.47420925e-03  1.77820357e-03 -2.21718309e-03 -1.77894763e-03
  2.36927621e-03 -6.28978955e-03 -6.49372948e-04  4.16030851e-03
  3.82829286e-03 -4.06928843e-03  4.78680132e-03  1.99555955e-03
  7.58200058e-05 -3.37261728e-03 -1.52223197e-03  5.77899726e-03
  3.12073699e-03  2.99289402e-03  3.31809443e-03 -1.27213883e-03
  2.91404116e-03 -2.04570522e-03  1.08365213e-04 -7.36843401e-03
 -1.29292866e-03 -2.60669509e-03 -6.73647709e-03  2.27621176e-03
  3.37443556e-03 -2.77872198e-03  1.26462443e-03]"
5,0.4887098186069248,"[1.58065247 1.56618211 1.57100398 1.57800657 1.57277929 1.57454934
 1.57877864 1.57642789 1.56959413 1.5723918  1.57460314 1.57196634
 1.57094226 1.57526328 1.56501045 1.57249322 1.57011208 1.57288277
 1.574961   1.56756932 1.5714602  1.56699999 1.57804035 1.57256532
 1.57411476 1.57654414 1.57268389 1.57477915 1.56895597 1.56759015
 1.56800866 1.57345676 1.56972197 1.57569842 1.56508701 1.57566999
 1.56119975 1.57412181 1.5715042  1.56855411 1.56657754 1.56355656
 1.56829124 1.57165556 1.57256808 1.57528604 1.57613898 1.56520449
 1.57494299 1.57212588 1.57243578 1.5769699  1.57362621 1.57740403
 1.57271013 1.56446195 1.57495719 1.57127678 1.57116436]"
6,0.48821114111339947,"[-7.25763226e-02  8.30106512e-03 -2.59212294e-02  6.46154407e-02
 -3.72953969e-02  4.05408845e-02 -1.01202183e-01  4.33894072e-02
 -5.92377502e-02  3.95180569e-02 -7.47141785e-02 -3.09916544e-02
  3.76596596e-02  1.56656360e-02  1.48012589e-02  1.15664063e-02
 -7.91076875e-02 -1.80266212e-02  4.08662587e-02  4.36717724e-02
  5.21530685e-02 -5.08900362e-05  3.04338108e-02 -1.20141925e-02
  3.77852130e-02 -1.51087927e-02  7.16355525e-02  1.36919340e-02
 -3.05352697e-02  4.07804493e-02 -2.47613613e-02 -3.38724835e-02
 -3.02242952e-02  1.94203312e-03  2.58937440e-02  3.86364863e-02
 -5.73407782e-02 -6.80200412e-02 -1.46473037e-02 -4.25144229e-04
 -3.12137030e-02 -1.40290285e-02 -5.22952061e-02 -3.72251797e-02
  1.09596319e-02 -6.18487343e-02  1.61797424e-02 -1.57967366e-03
 -5.03690787e-02  1.32437198e-03  1.03594485e-02  2.39047922e-03
 -1.65475030e-02 -5.34851051e-02 -6.33384053e-03  3.33383635e-02
  5.60658862e-02  2.08400018e-02  4.80306078e-02]"
7,0.4867239104721114,"[1.5484318  1.56047617 1.55837324 1.62532575 1.54874689 1.62589589
 1.52982816 1.55060997 1.5781784  1.60781445 1.55343216 1.49431707
 1.55275624 1.63568156 1.61125485 1.52054425 1.52288378 1.54212763
 1.58247826 1.51064913 1.52359991 1.60633485 1.57371281 1.59440862
 1.54998947 1.55870984 1.64117025 1.60165554 1.6107972  1.52314511
 1.51150763 1.60181682 1.59754143 1.61485027 1.61550613 1.62810857
 1.60101388 1.66812905 1.54169572 1.52584906 1.53989624 1.64420392
 1.59104973 1.58068384 1.59080503 1.54446813 1.58848702 1.50931734
 1.60388897 1.64409436 1.59616299 1.54198841 1.51067597 1.64056336
 1.63867406 1.63209387 1.55662905 1.52130203 1.61094618]"
8,0.48686940726487205,"[-0.07198935  0.0119702  -0.0258453   0.06267565 -0.03773237  0.04682376
 -0.10186964  0.04449067 -0.06599142  0.04066672 -0.07447738 -0.03017719
  0.04537109  0.01047169  0.01416607  0.014241   -0.07779073 -0.01988109
  0.04272169  0.04420653  0.04813237 -0.00073895  0.02766709 -0.01296417
  0.03691123 -0.00844751  0.07447688  0.01839021 -0.03097222  0.04326368
 -0.01933406 -0.0319972  -0.02526287  0.00170019  0.02211776  0.04009506
 -0.05784791 -0.06826455 -0.01790637 -0.00313066 -0.02940274 -0.00956154
 -0.05415338 -0.03528778  0.01135123 -0.06078406  0.01521048  0.00189777
 -0.0504894   0.00023781  0.00689869 -0.00194457 -0.01009715 -0.05491042
 -0.00012383  0.03415519  0.05808786  0.01971703  0.04917239]"
9,0.4850713589276056,"[1.55019876 1.55436184 1.55659207 1.61923307 1.54799239 1.62130753
 1.52990093 1.55287999 1.57904091 1.60454354 1.55254432 1.50281312
 1.5501087  1.63720884 1.6080088  1.5302818  1.52365497 1.54190246
 1.59067009 1.50566411 1.52475376 1.60721762 1.57088254 1.59882924
 1.55307278 1.56177682 1.64568578 1.6034849  1.61123121 1.52235363
 1.51660388 1.60435564 1.59750846 1.6170729  1.6142001  1.62662738
 1.59670406 1.66732024 1.54584466 1.52494046 1.5395266  1.65038689
 1.59017959 1.57950646 1.59389017 1.54292078 1.59503081 1.50513695
 1.60252284 1.64069134 1.59319775 1.54124375 1.50798578 1.63672333
 1.64111094 1.62648737 1.55943609 1.52356513 1.61395049]"
