algorithm,config,p_target,alpha,p_estimate,exact_error,ci_width,num_oracle_calls
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.011685781081200509,0.001685781081200509,0.005204246204401542,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.008910666410254092,0.001089333589745908,0.004525146335811875,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.008784243864504241,0.0012157561354957588,0.0032452640914093812,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01121369024870748,0.0012136902487074799,0.005095464740767194,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.012641813613340153,0.0026418136133401528,0.008729889913194849,100
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.008910666410254092,0.001089333589745908,0.004525146335811875,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009602722886474195,0.0003972771135258048,0.0033953858514579765,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.012529114588585247,0.0025291145885852472,0.003884993594558038,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010281203049212146,0.0002812030492121455,0.004873053503873003,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009820664324521949,0.00017933567547805118,0.004759150250099169,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.014107857722098091,0.004107857722098091,0.005728353914996718,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01074552185863012,0.0007455218586301191,0.004985110446055423,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.008251973303476684,0.0017480266965233162,0.0031437506748281025,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.014605203094198507,0.004605203094198507,0.0058298568053221185,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.008461085913823678,0.0015389140861763219,0.004404665271812968,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.012221200074783067,0.0022212000747830665,0.003836387942459528,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01074552185863012,0.0007455218586301191,0.004985110446055423,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.008910666410254092,0.001089333589745908,0.004525146335811875,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01074552185863012,0.0007455218586301191,0.004985110446055423,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.007005454478264332,0.002994545521735668,0.006126961404291167,100
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010446937138069158,0.0004469371380691582,0.0035435394167995494,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.008015043351004968,0.0019849566489950326,0.004281569149840652,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.008784243864504241,0.0012157561354957588,0.0032452640914093812,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010162549883567972,0.00016254988356797194,0.0034943339906948552,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.012161870562600686,0.0021618705626006863,0.005311572739507105,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010734412944117151,0.000734412944117151,0.0035925957132796516,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.015107077201576488,0.005107077201576488,0.0059304364672014874,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01074552185863012,0.0007455218586301191,0.004985110446055423,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009363839618124268,0.0006361603818757326,0.004643240830166125,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01121369024870748,0.0012136902487074799,0.005095464740767194,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009054328680351232,0.0009456713196487679,0.003295564405394268,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.012642038257796173,0.0026420382577961726,0.005417551944339115,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.011916940880603202,0.0019169408806032021,0.0037877586192922932,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.011685781081200509,0.001685781081200509,0.005204246204401542,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.007572488351621534,0.0024275116483784666,0.004155596929986253,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010446937138069158,0.0004469371380691582,0.0035435394167995494,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009820664324521949,0.00017933567547805118,0.004759150250099169,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009820664324521949,0.00017933567547805118,0.004759150250099169,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.008111686814022804,0.0018883131859771963,0.0067295315481268915,100
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01613431731448141,0.006134317314481408,0.009975194018402562,100
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01121369024870748,0.0012136902487074799,0.005095464740767194,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.011916940880603202,0.0019169408806032021,0.0037877586192922932,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009602722886474195,0.0003972771135258048,0.0033953858514579765,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.011616231179397196,0.001616231179397196,0.0037390852986181116,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009054328680351232,0.0009456713196487679,0.003295564405394268,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009363839618124268,0.0006361603818757326,0.004643240830166125,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009363839618124268,0.0006361603818757326,0.004643240830166125,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009820664324521949,0.00017933567547805118,0.004759150250099169,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01121369024870748,0.0012136902487074799,0.005095464740767194,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.012161870562600686,0.0021618705626006863,0.005311572739507105,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010162549883567972,0.00016254988356797194,0.0034943339906948552,300
