algorithm,a_target,epsilon_target,alpha,mean_oracle_calls,stdev_oracle_calls,params
IAE,0.01,0.1,0.001,131.0,46.2,{"shots": 100}
IAE,0.01,0.1,0.01,165.0,47.7,{"shots": 100}
IAE,0.01,0.1,0.05,224.0,60.2,{"shots": 100}
IAE,0.01,0.01,0.001,1886.0,553.4,{"shots": 100}
IAE,0.01,0.01,0.01,2082.0,717.0,{"shots": 100}
IAE,0.01,0.01,0.05,1609.0,728.4,{"shots": 100}
IAE,0.01,0.001,0.001,22265.0,5238.4,{"shots": 100}
IAE,0.01,0.001,0.01,31927.0,12609.4,{"shots": 100}
IAE,0.01,0.001,0.05,25914.0,10165.6,{"shots": 100}
IAE,0.05,0.1,0.001,100.0,0.0,{"shots": 100}
IAE,0.05,0.1,0.01,103.0,17.1,{"shots": 100}
IAE,0.05,0.1,0.05,115.0,38.4,{"shots": 100}
IAE,0.05,0.01,0.001,2305.0,385.1,{"shots": 100}
IAE,0.05,0.01,0.01,2476.0,405.2,{"shots": 100}
IAE,0.05,0.01,0.05,2882.0,610.3,{"shots": 100}
IAE,0.05,0.001,0.001,29389.0,4286.5,{"shots": 100}
IAE,0.05,0.001,0.01,27733.0,14478.9,{"shots": 100}
IAE,0.05,0.001,0.05,14516.0,2739.0,{"shots": 100}
IAE,0.25,0.1,0.001,108.0,113.7,{"shots": 100}
IAE,0.25,0.1,0.01,125.0,108.1,{"shots": 100}
IAE,0.25,0.1,0.05,71.0,95.2,{"shots": 100}
IAE,0.25,0.01,0.001,2872.0,884.2,{"shots": 100}
IAE,0.25,0.01,0.01,1486.0,632.8,{"shots": 100}
IAE,0.25,0.01,0.05,1358.0,338.6,{"shots": 100}
IAE,0.25,0.001,0.001,25654.0,7700.6,{"shots": 100}
IAE,0.25,0.001,0.01,20818.0,7901.1,{"shots": 100}
IAE,0.25,0.001,0.05,25677.0,7144.0,{"shots": 100}
IAE,0.5,0.1,0.001,103.0,17.1,{"shots": 100}
IAE,0.5,0.1,0.01,110.0,30.0,{"shots": 100}
IAE,0.5,0.1,0.05,151.0,53.8,{"shots": 100}
IAE,0.5,0.01,0.001,2143.0,334.7,{"shots": 100}
IAE,0.5,0.01,0.01,2592.0,484.9,{"shots": 100}
IAE,0.5,0.01,0.05,2349.0,1201.9,{"shots": 100}
IAE,0.5,0.001,0.001,25121.0,6057.0,{"shots": 100}
IAE,0.5,0.001,0.01,25502.0,10982.2,{"shots": 100}
IAE,0.5,0.001,0.05,17422.0,6601.0,{"shots": 100}
IAE,0.75,0.1,0.001,131.0,108.3,{"shots": 100}
IAE,0.75,0.1,0.01,140.0,101.0,{"shots": 100}
IAE,0.75,0.1,0.05,48.0,84.2,{"shots": 100}
IAE,0.75,0.01,0.001,3000.0,716.9,{"shots": 100}
IAE,0.75,0.01,0.01,1709.0,905.3,{"shots": 100}
IAE,0.75,0.01,0.05,1408.0,330.4,{"shots": 100}
IAE,0.75,0.001,0.001,27254.0,8331.2,{"shots": 100}
IAE,0.75,0.001,0.01,19364.0,7175.2,{"shots": 100}
IAE,0.75,0.001,0.05,24939.0,7812.7,{"shots": 100}
IAE,0.95,0.1,0.001,100.0,0.0,{"shots": 100}
IAE,0.95,0.1,0.01,105.0,21.8,{"shots": 100}
IAE,0.95,0.1,0.05,110.0,30.0,{"shots": 100}
IAE,0.95,0.01,0.001,2352.0,516.4,{"shots": 100}
IAE,0.95,0.01,0.01,2408.0,557.6,{"shots": 100}
IAE,0.95,0.01,0.05,2851.0,755.3,{"shots": 100}
IAE,0.95,0.001,0.001,29327.0,4691.5,{"shots": 100}
IAE,0.95,0.001,0.01,28325.0,13576.5,{"shots": 100}
IAE,0.95,0.001,0.05,15160.0,3638.2,{"shots": 100}
IAE,0.99,0.1,0.001,134.0,47.4,{"shots": 100}
IAE,0.99,0.1,0.01,183.0,37.6,{"shots": 100}
IAE,0.99,0.1,0.05,238.0,59.6,{"shots": 100}
IAE,0.99,0.01,0.001,1876.0,611.6,{"shots": 100}
IAE,0.99,0.01,0.01,2257.0,794.9,{"shots": 100}
IAE,0.99,0.01,0.05,1572.0,691.1,{"shots": 100}
IAE,0.99,0.001,0.001,22655.0,5383.1,{"shots": 100}
IAE,0.99,0.001,0.01,34007.0,13032.6,{"shots": 100}
IAE,0.99,0.001,0.05,25816.0,10079.3,{"shots": 100}
